ORIG_FID,SIA2024BuildingType,BuildingAge,GlazingRatio
1,SFH,1914,41
2,SFH,1976,43
3,SFH,1933,14
4,SFH,1989,46
5,SFH,1952,13
6,SFH,1980,16
7,SFH,1978,55
8,SFH,1963,18
9,SFH,1995,28
10,SFH,1999,54
11,SFH,2005,49
12,SFH,1949,10
13,SFH,2005,54
14,SFH,1945,59
15,SFH,1955,49
16,SFH,1954,51
17,SFH,1912,33
18,SFH,1935,15
19,SFH,1937,35
20,SFH,1903,14
21,SFH,1966,15
22,SFH,1976,37
23,SFH,1999,18
24,SFH,1985,47
25,SFH,1921,48
26,SFH,2018,58
27,SFH,1950,14
28,SFH,2008,37
29,SFH,2016,50
30,SFH,1924,35
31,SFH,1946,25
32,SFH,1945,43
33,SFH,1962,56
34,SFH,1944,19
35,SFH,2011,31
36,SFH,1914,49
37,SFH,2006,57
38,SFH,1952,15
39,SFH,1996,54
40,SFH,1998,34
41,SFH,1978,54
42,SFH,2009,32
43,SFH,2013,55
44,SFH,1935,54
45,SFH,1979,20
46,SFH,1963,54
47,SFH,1967,42
48,SFH,1911,33
49,SFH,2006,39
50,SFH,1982,49
51,SFH,1929,54
52,SFH,1944,36
53,SFH,1999,40
54,SFH,1913,19
55,SFH,1940,36
56,SFH,1937,24
57,SFH,1936,31
58,SFH,1949,14
59,SFH,1994,15
60,SFH,1966,24
61,SFH,1948,16
62,SFH,1977,17
63,SFH,1942,13
64,SFH,1933,31
65,SFH,1908,46
66,SFH,2015,37
67,SFH,1926,18
68,SFH,1996,34
69,SFH,1910,55
70,SFH,1905,24
71,SFH,1958,46
72,SFH,1905,33
73,SFH,2006,57
74,SFH,1963,28
75,SFH,1953,22
76,SFH,1945,24
77,SFH,1965,27
78,SFH,1976,49
79,SFH,1927,27
80,SFH,1975,39
81,SFH,1926,26
82,SFH,1990,15
83,SFH,2012,34
84,SFH,1924,38
85,SFH,1987,26
86,SFH,1951,18
87,SFH,2004,52
88,SFH,1907,42
89,SFH,1908,29
90,SFH,1926,39
91,SFH,2019,23
92,SFH,2013,47
93,SFH,1998,36
94,SFH,1931,46
95,SFH,2018,54
96,SFH,2005,14
97,SFH,1991,59
98,SFH,1935,49
99,SFH,1917,28
100,SFH,1992,54
101,SFH,1937,17
102,SFH,1905,13
103,SFH,1934,59
104,SFH,1952,52
105,SFH,1930,42
106,SFH,2012,16
107,SFH,1932,22
108,SFH,1973,21
109,SFH,1951,22
110,SFH,1990,56
111,SFH,1922,57
112,SFH,1942,58
113,SFH,1997,40
114,SFH,1998,50
115,SFH,1942,15
116,SFH,1989,44
117,SFH,1966,29
118,SFH,1981,46
119,SFH,1962,45
120,SFH,1981,49
121,SFH,1969,43
122,SFH,1974,51
123,SFH,1907,58
124,SFH,2015,29
125,SFH,1965,12
126,SFH,1976,48
127,SFH,1914,23
128,SFH,1938,22
129,SFH,1957,36
130,SFH,2007,30
131,SFH,1906,21
132,SFH,1992,31
133,SFH,1902,27
134,SFH,1915,51
135,SFH,2004,53
136,SFH,1900,39
137,SFH,2014,28
138,SFH,2004,29
139,SFH,1904,53
140,SFH,1984,51
141,SFH,1952,45
142,SFH,1993,40
143,SFH,1968,54
144,SFH,1928,48
145,SFH,1928,48
146,SFH,1946,51
147,SFH,1939,50
148,SFH,1977,26
149,SFH,2015,24
150,SFH,1990,15
151,SFH,1903,32
152,SFH,1965,49
153,SFH,1986,23
154,SFH,1987,19
155,SFH,1978,16
156,SFH,1912,28
157,SFH,1946,29
158,SFH,1999,45
159,SFH,2015,34
160,SFH,2018,36
161,SFH,1931,24
162,SFH,1943,51
163,SFH,2019,31
164,SFH,2001,53
165,SFH,1909,35
166,SFH,1923,35
167,SFH,1931,10
168,SFH,1997,49
169,SFH,1955,59
170,SFH,1945,59
171,SFH,2002,32
172,SFH,2013,13
173,SFH,1958,35
174,SFH,1973,29
175,SFH,1921,21
176,SFH,2014,24
177,SFH,1929,18
178,SFH,1918,53
179,SFH,1941,40
180,SFH,1962,59
181,SFH,1987,43
182,SFH,2009,12
183,SFH,1916,43
184,SFH,1992,48
185,SFH,1995,46
186,SFH,1936,57
187,SFH,1945,32
188,SFH,2012,22
189,SFH,1959,53
190,SFH,1925,42
191,SFH,1930,21
192,SFH,1985,14
193,SFH,1958,36
194,SFH,1900,11
195,SFH,2010,31
196,SFH,1919,26
197,SFH,1979,17
198,SFH,1914,56
199,SFH,1939,47
200,SFH,1916,58
201,SFH,1965,12
202,SFH,1975,59
203,SFH,1934,29
204,SFH,1910,27
205,SFH,2014,29
206,SFH,1966,15
207,SFH,1942,34
208,SFH,1998,13
209,SFH,2011,48
210,SFH,1914,23
211,SFH,1945,39
212,SFH,2004,38
213,SFH,1920,10
214,SFH,1959,56
215,SFH,1983,53
216,SFH,1933,13
217,SFH,1982,26
218,SFH,1986,10
219,SFH,2001,17
220,SFH,1950,56
221,SFH,2008,36
222,SFH,1975,59
223,SFH,1959,45
224,SFH,1979,24
225,SFH,1918,20
226,SFH,1994,19
227,SFH,1977,52
228,SFH,1987,32
229,SFH,1939,42
230,SFH,1959,25
231,SFH,1959,55
232,SFH,1998,54
233,SFH,1952,20
234,SFH,1942,32
235,SFH,1900,26
236,SFH,1982,17
237,SFH,1989,43
238,SFH,2012,29
239,SFH,1969,27
240,SFH,2019,13
241,SFH,1986,50
242,SFH,1997,15
243,SFH,1955,29
244,SFH,1905,27
245,SFH,1909,24
246,SFH,1965,25
247,SFH,1904,55
248,SFH,1913,35
249,SFH,1931,17
250,SFH,1972,55
251,SFH,1900,25
252,SFH,1986,34
253,SFH,1942,10
254,SFH,2005,37
255,SFH,1928,57
256,SFH,1944,36
257,SFH,1954,43
258,SFH,1987,29
259,SFH,1992,11
260,SFH,1958,54
261,SFH,1943,56
262,SFH,1950,49
263,SFH,1908,37
264,SFH,1905,46
265,SFH,1940,19
266,SFH,1984,36
267,SFH,1932,26
268,SFH,1928,15
269,SFH,1993,30
270,SFH,1948,51
271,SFH,1940,41
272,SFH,1936,50
273,SFH,1927,41
274,SFH,2001,28
275,SFH,2005,10
276,SFH,2017,58
277,SFH,1997,48
278,SFH,1990,20
279,SFH,1908,14
280,SFH,2014,38
281,SFH,1937,25
282,SFH,2019,48
283,SFH,1962,31
284,SFH,2000,16
285,SFH,1919,41
286,SFH,2004,40
287,SFH,1974,54
288,SFH,1938,14
289,SFH,1990,53
290,SFH,1916,39
291,SFH,1906,53
292,SFH,1984,10
293,SFH,1939,38
294,SFH,1985,53
295,SFH,1981,55
296,SFH,1958,10
297,SFH,1904,27
298,SFH,2004,24
299,SFH,1983,15
300,SFH,1933,29
301,SFH,1956,22
302,SFH,1924,22
303,SFH,1989,16
304,SFH,2011,48
305,SFH,2006,51
306,SFH,1959,53
307,SFH,1916,41
308,SFH,1995,22
309,SFH,1957,45
310,SFH,1951,47
311,SFH,1954,28
312,SFH,2004,16
313,SFH,1986,56
314,SFH,1965,59
315,SFH,1969,23
316,SFH,1945,18
317,SFH,1960,15
318,SFH,2016,11
319,SFH,1977,57
320,SFH,1926,47
321,SFH,1938,45
322,SFH,1918,42
323,SFH,1951,10
324,SFH,2001,13
325,SFH,1914,22
326,SFH,1914,34
327,SFH,2012,15
328,SFH,1957,29
329,SFH,2015,54
330,SFH,1989,12
331,SFH,1984,34
332,SFH,2002,43
333,SFH,1931,21
334,SFH,1995,35
335,SFH,1927,35
336,SFH,1965,42
337,SFH,1926,32
338,SFH,1960,56
339,SFH,1995,14
340,SFH,1970,51
341,SFH,2002,31
342,SFH,1905,48
343,SFH,1985,37
344,SFH,1906,33
